decision,gs_page,reason,link,notes
no,1,NRT,https://link.springer.com/article/10.1007/s10461-016-1644-y,HIV retention
no,1,NRT,https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2016.303088,Suicidality
no,1,NRT,https://onlinelibrary.wiley.com/doi/full/10.1002/oby.20952,Obesity
no,1,NRT,https://link.springer.com/article/10.1007%2Fs10508-018-1150-6,Suicidality
no,1,NRT,https://www.sciencedirect.com/science/article/abs/pii/S0010782418300015,Family planning 
no,1,NRT,https://www.scielo.br/scielo.php?pid=S0103-863X2017000100069&script=sci_arttext,Resilience in LGB youth
no,2,P,https://www.sciencedirect.com/science/article/abs/pii/S0272735818301132,Trangender people
no,2,P,https://psycnet.apa.org/record/2018-10996-001,Interventions for SM youth
no,2,NRT,https://link.springer.com/article/10.1007%2Fs10865-019-00120-6,Minority stress and biological factors
no,2,P,https://psycnet.apa.org/record/2018-24451-001,SMW
no,2,SMTA,https://psycnet.apa.org/record/2019-27246-001,"No focus on SU, primarily self-esteem"
no,2,NRT,https://www.tandfonline.com/doi/abs/10.1080/13811118.2019.1663329,Suicidality
no,2,P,https://link.springer.com/article/10.1007/s10935-018-0525-8,Adolescent gay and bisexual 
no,2,NRT,https://www.tandfonline.com/doi/abs/10.1080/19359705.2019.1622616,Depression interventions
no,2,NRT,https://onlinelibrary.wiley.com/doi/full/10.1111/jmft.12415,Couple therapy research
no,2,NRPS,https://psycnet.apa.org/record/2020-11439-001,Keep because focus on methodological limitations; check PSOGD for article
no,3,NRPS,https://psycnet.apa.org/record/2020-15904-001,Possible protective factors
no,3,SA,https://search.proquest.com/openview/a029d4692c740bec44433c6250ebdb56/1?pq-origsite=gscholar&cbl=18750&diss=y,Dissertation
no,3,P,https://repositorio-aberto.up.pt/bitstream/10216/102465/2/178961.pdf,LGB youth
no,3,NRT,https://link.springer.com/article/10.1007/s11930-020-00295-z,NSSI
no,1,NRT,https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2016.303630,cardiovascular disease
no,1,NRT,https://www.tandfonline.com/doi/full/10.1080/00224499.2012.746279,review of measures
no,1,NRT,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1752-0606.2008.00065.x,therapy
no,1,NRT,https://www.tandfonline.com/doi/abs/10.1080/15532739.2017.1332535,review of measures
no,1,NRT,https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/sexual-orientation-and-suicidal-behaviour-in-adolescents-and-young-adults-systematic-review-and-metaanalysis/30CA9DA3EC80710148DF3AAD945DA618,Suicidality
no,1,NRT,https://www.tandfonline.com/doi/abs/10.1080/15532739.2016.1258353,anxiety among transgender
no,1,P,https://www.sciencedirect.com/science/article/abs/pii/S0376871618301212,Alcohol among trans
no,1,NRT,https://www.sciencedirect.com/science/article/abs/pii/S0010782418300015,Family planning 
no,1,NRT,https://onlinelibrary.wiley.com/doi/abs/10.1111/dar.12271,Interventions for alcohol reduction
no,2,NRT,https://link.springer.com/article/10.1007%2Fs10865-019-00120-6,Biology focus
no,2,NRT,https://www.sciencedirect.com/science/article/pii/S0883941717305253?casa_token=huz3rRrSAM4AAAAA:103iCQvRQD0ZjDdyDxK_lu5I4rsZu6wnA5Hn_j2vexwx0ptFr0KszoTS70Vtelox-COQrg-EaQ,Suicidality
no,2,NRT,https://www.tandfonline.com/doi/abs/10.1080/19419899.2018.1484798,Trans measures
no,2,NRPS,https://www.tandfonline.com/doi/full/10.1080/00918369.2017.1422935?casa_token=BeEFFyUJlGgAAAAA%3Aw7MYInMH7yJyZxXqg0_LpwfUp4Mm7V3O_knQU7u61rsa7sIkt5XD9khrs5xkreOGej5sjDLJ5Rv7,Useful to identify discrimination measures
no,2,NRT,https://content.sciendo.com/view/journals/gp/2/1/article-p51.xml,self-concept LGB youth
no,2,NRT,https://www.karger.com/Article/Abstract/493559,LGBT aging
no,2,NRT,https://onlinelibrary.wiley.com/doi/full/10.1111/jmft.12415?casa_token=HoU3kRFwFLAAAAAA%3AN-8G2LxIlI9D1hv91kZoDF2z_aJ0GwGaSiAhphta9goyCOj01LbGDtRTNRmmBUc2m89nXimkzjXEqcE,Couple therapy research
no,2,NRT,https://bmjopen.bmj.com/content/9/11/e031541.abstract,Self-harm risk factors
no,2,NRT,https://www.emerald.com/insight/content/doi/10.1108/JMHTEP-09-2019-0047/full/html,access to mental health services
no,3,SA,https://search.proquest.com/openview/1dd68c64a9e4a75131e8d5777429f442/1?pq-origsite=gscholar&cbl=18750&diss=y,Dissertation
no,3,NRT,https://academic.oup.com/psychsocgerontology/article/75/8/1758/5849288?login=true,health inequalities
no,3,SA,https://search.proquest.com/openview/a029d4692c740bec44433c6250ebdb56/1?pq-origsite=gscholar&cbl=18750&diss=y,Dissertation
no,3,NRT,https://onlinelibrary.wiley.com/doi/abs/10.1111/cpsp.12377,reparative therapy
no,3,NRT,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0245268,Suicidality
no,3,P,https://www.sciencedirect.com/science/article/abs/pii/S0277953620304330,SMW
no,3,NRT,https://link.springer.com/article/10.1007/s11930-020-00295-z,NSSI
no,3,NRT,https://psyarxiv.com/jcxzw/,psychosis
no,3,NRT,https://link.springer.com/article/10.1007/s10461-021-03167-2,hiv prevention
no,3,P,https://etd.ohiolink.edu/apexprod/rws_olink/r/1501/10?clear=10&p10_accession_num=wsupsych1568143257483313,education for TGNC families
no,1,NRT,https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2016.303630,heart disease
no,1,NRT,https://www.tandfonline.com/doi/full/10.1080/00224499.2012.746279,review of instruments
no,1,NRT,https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2016.303088,Suicidality
no,1,P,https://www.sciencedirect.com/science/article/abs/pii/S0272735817304208,TGNC sample
no,2,NRT,https://www.tandfonline.com/doi/abs/10.1080/15532739.2017.1332535,review of instruments
no,2,NRT,https://onlinelibrary.wiley.com/doi/full/10.1002/oby.20952,weight stigma
no,2,NRT,https://bjgp.org/content/68/668/e187.short,identity disclosure
no,2,SMTA,https://www.tandfonline.com/doi/full/10.1080/00224499.2017.1387755,depression and anxiety
no,2,NRT,https://eprints.lancs.ac.uk/id/eprint/86933/,Suicidality
no,2,SMTA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5791869/,violence motivation
no,2,NRT,https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/sexual-orientation-and-suicidal-behaviour-in-adolescents-and-young-adults-systematic-review-and-metaanalysis/30CA9DA3EC80710148DF3AAD945DA618,Suicidality
no,2,SMTA,https://www.tandfonline.com/doi/abs/10.1080/15532739.2016.1258353,anxiety among transgender
no,2,SMTA,https://journals.sagepub.com/doi/full/10.1177/0004867417713664,depression
no,2,SMTA,https://link.springer.com/article/10.1007%2Fs10508-018-1150-6,Suicidality
no,3,P,https://www.sciencedirect.com/science/article/abs/pii/S0376871618301212,transgender alcohol use
no,3,P,https://www.tandfonline.com/doi/full/10.1080/00918369.2016.1174021?casa_token=XdFU8aCY1bAAAAAA%3Axh58Cc9BqRchm6gpSj-Ni8R0K6Ddtq6X4l-mxUJmu13ELKwK6gFug9zKuTVjO0mCNufFe23CZbEa,SMW
no,3,NRT,https://www.sciencedirect.com/science/article/abs/pii/S0010782418300015,Family planning 
no,3,SMTA,https://psycnet.apa.org/doiLanding?doi=10.1037%2Fccp0000123,anxiety and depression
no,3,P,https://www.scielo.br/scielo.php?pid=S0103-863X2017000100069&script=sci_arttext,LGB youth
no,3,NL,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-016-2980-6,South Africa
no,3,SMTA,https://link.springer.com/article/10.1007/s10461-016-1608-2,HIV resilience
no,3,SMTA,https://www.degruyter.com/document/doi/10.1515/hmbci-2015-0055/html,eating disorders
no,3,SA,https://www.researchgate.net/profile/Helen_Killaspy/publication/228988573_Mental_disorders_suicide_and_deliberate_self_harm_in_lesbian_gay_and_bisexual_people_a_systematic_review_of_the_literature/links/00b4951a4aa96cb60c000000/Mental-disorders-suicide-and-deliberate-self-harm-in-lesbian-gay-and-bisexual-people-a-systematic-review-of-the-literature.pdf,list of tables and figures
no,4,P,https://www.liebertpub.com/doi/full/10.1089/trgh.2016.0037,transgender
no,4,NRT,https://onlinelibrary.wiley.com/doi/abs/10.1002/pon.4674,cancer
no,4,NRT,https://onlinelibrary.wiley.com/doi/abs/10.1002/erv.2601,Disordered eating
no,4,P,https://www.sciencedirect.com/science/article/abs/pii/S0272735818301132,transgender
no,4,P,https://psycnet.apa.org/record/2018-10996-001,LGB youth
no,4,NRT,https://link.springer.com/article/10.1007%2Fs10865-019-00120-6,Biology focus
no,4,SMTA,https://www.sciencedirect.com/science/article/pii/S0883941717305253?casa_token=5PTYshIyqnQAAAAA:ciQVt_6n0Waz9va8JfAa4fla2KIBI6cZauX3qxzbFgYcwthrUPoI-mBsmcKzjLzxsClZi9bi9A,Suicidality
no,4,NRT,https://psycnet.apa.org/doiLanding?doi=10.1037%2Ffsh0000290,healthcare
no,4,NRT,https://psycnet.apa.org/record/2018-24451-001,Disordered eating
no,5,P,https://link.springer.com/article/10.1007/s40894-019-00118-w,LGBTQ+ youth
no,5,NRT,https://www.sciencedirect.com/science/article/abs/pii/S0272735819302958,NSSI
no,5,NRT,https://mental.jmir.org/2018/3/e10496/,social media
no,5,P,https://www.sciencedirect.com/science/article/abs/pii/S0883035517306171,transgender
no,5,NRT,https://link.springer.com/article/10.1007/s10461-019-02626-1,intervention
no,5,SMTA,https://link.springer.com/article/10.1007/s40894-018-0079-2,Disordered eating
no,5,NRT,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0198751,geography based
no,5,NL,https://www.liebertpub.com/doi/abs/10.1089/lgbt.2014.0024,Asia
no,5,P,https://www.liebertpub.com/doi/abs/10.1089/lgbt.2019.0014,transgender
no,5,SMTA,https://onlinelibrary.wiley.com/doi/abs/10.1111/obr.12906,Obesity
no,6,SMTA,https://www.tandfonline.com/doi/abs/10.1080/1550428X.2020.1724109,family among latinx SMP
